"","clip","stimulus","response","language","gender","noise_exposure","age","condition","trial","participant"
"36","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","no",28,"random",35,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"37","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","no",28,"random",36,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"38","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","no",28,"random",37,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"39","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","no",28,"random",38,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"40","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","no",28,"random",39,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"41","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","no",28,"random",40,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"42","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","no",28,"random",41,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"43","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","no",28,"random",42,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"44","yanny-laurel-single_yanny_12.wav",2,"Yanny","German","m","no",28,"random",43,"cb34ecef932c22e6ae724db5f3ad36aa0c101b24a5de"
"45","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","yes",28,"yanny_first",0,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"46","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","yes",28,"yanny_first",1,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"47","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","yes",28,"yanny_first",2,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"48","yanny-laurel-single_yanny_12.wav",2,"Laurel","German","m","yes",28,"yanny_first",3,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"49","yanny-laurel-single_yanny_6.wav",1,"Laurel","German","m","yes",28,"yanny_first",4,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"50","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","yes",28,"yanny_first",5,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"51","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","yes",28,"yanny_first",6,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"52","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","yes",28,"yanny_first",7,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"53","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","yes",28,"yanny_first",8,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
